transition_mode,mixer_method,method,mean_P_valid,median_P_valid,std_P_valid,min_P_valid,max_P_valid,wins_best_by_case,cases,version
cost_phase,local_geometric,M1 (sweep),0.8879475376685461,0.9011000983027488,0.075345613028304,0.7440295894315402,0.9733361271388428,1,10,V4
cost_phase,local_geometric,M2 (eigen),0.6151125255643153,0.643766348456041,0.1581490663974779,0.2693224860413215,0.8877267099037187,0,10,V4
cost_phase,local_geometric,M3 (theory),0.5042984355212725,0.5137767601069465,0.1088325562446271,0.2668401098152571,0.635507637428856,0,10,V4
cost_phase,local_geometric,M4 (grad),0.3802792800506914,0.3884799320529289,0.1347216774518575,0.1222203456598346,0.6666116819129951,0,10,V4
cost_phase,local_geometric,M5 (hybrid),0.9067172066860966,0.9257539434571354,0.0760246243373711,0.7608680091828334,0.9864949477064529,8,10,V4
cost_phase,local_geometric,Experimental,0.8257716563285527,0.8419579307288485,0.0914726405542574,0.7025975783086115,0.966967408503007,0,10,V4
cost_phase,linear_valid,M1 (sweep),0.8426750997527334,0.8876884300127318,0.1098846673397934,0.562389025317835,0.9515094122045994,0,10,V4
cost_phase,linear_valid,M2 (eigen),0.5929444370995915,0.5947077507022701,0.1544189583078002,0.2374186824028426,0.8601265256344713,0,10,V4
cost_phase,linear_valid,M3 (theory),0.5433316465662051,0.5672371962367533,0.1500985428649762,0.2203724789059909,0.8055071660907984,0,10,V4
cost_phase,linear_valid,M4 (grad),0.4046244044688796,0.3898688418837186,0.1824829987073935,0.0476581491445743,0.7147164868789253,0,10,V4
cost_phase,linear_valid,M5 (hybrid),0.8687143672604906,0.9099217955310224,0.1147434004311943,0.5797586246027685,0.96910800954321,0,10,V4
cost_phase,linear_valid,Experimental,0.7635131347861311,0.7804339110780256,0.132397128914149,0.4569905350805526,0.9070896561708174,0,10,V4
cost_phase,rx_all,M1 (sweep),0.7568471236274777,0.76110863759121,0.1525422351762692,0.4779691888051112,0.9574046875282726,0,10,V4
cost_phase,rx_all,M2 (eigen),0.6354422670086757,0.6598657823578598,0.1491880633390016,0.3476697316247032,0.8142605093746516,0,10,V4
cost_phase,rx_all,M3 (theory),0.265170287219267,0.2629002030801959,0.1408243949601789,0.0309444444444444,0.5200400636446318,0,10,V4
cost_phase,rx_all,M4 (grad),0.3450160318483757,0.3021183209941579,0.1812341165163975,0.1325212717539568,0.6523205367032301,0,10,V4
cost_phase,rx_all,M5 (hybrid),0.7938050486737737,0.8109325948011797,0.1333000947824491,0.5539578046788045,0.9656975409338664,1,10,V4
cost_phase,rx_all,Experimental,0.7134264155392629,0.6914165131648011,0.1545102803167078,0.4101505553983142,0.9383870028986449,0,10,V4
